#{"t_start": 1752536160.0332599, "env_id": "SafeCartPole-v0"}
r,l,t,c
91.0,98,16.920827,91.0
31.0,46,16.960801,31.0
83.0,86,17.035852,83.0
104.0,104,17.12754,104.0
32.0,37,17.16017,32.0
12.0,12,17.17084,12.0
38.0,38,17.204273,38.0
50.0,50,17.24827,50.0
55.0,55,17.296444,55.0
18.0,18,17.312222,18.0
33.0,33,17.341059,33.0
81.0,81,17.411881,81.0
47.0,90,17.490393,47.0
43.0,45,17.5304,43.0
41.0,41,17.566256,41.0
24.0,28,17.59071,24.0
27.0,27,17.61417,27.0
27.0,27,17.637924,27.0
52.0,74,17.702488,52.0
29.0,29,17.727806,29.0
25.0,25,17.749679,25.0
64.0,64,17.805156,64.0
50.0,50,17.849067,50.0
44.0,44,17.887225,44.0
46.0,46,17.927042,46.0
30.0,37,17.959272,30.0
14.0,16,17.973254,14.0
33.0,33,18.001886,33.0
32.0,35,18.032258,32.0
37.0,59,18.083477,37.0
34.0,34,18.113064,34.0
16.0,16,18.126967,16.0
40.0,40,18.161799,40.0
22.0,22,18.180983,22.0
100.0,100,18.267912,100.0
19.0,19,18.284441,19.0
44.0,44,18.322521,44.0
40.0,40,18.357201,40.0
48.0,48,18.398839,48.0
33.0,35,18.429212,33.0
30.0,30,18.455278,30.0
43.0,53,18.501101,43.0
22.0,22,18.520153,22.0
30.0,30,18.546343,30.0
22.0,22,18.565515,22.0
35.0,35,19.0158,35.0
22.0,22,19.035142,22.0
44.0,44,19.073321,44.0
38.0,51,19.117705,38.0
27.0,27,19.141853,27.0
27.0,27,19.165835,27.0
21.0,21,19.184321,21.0
33.0,33,19.213356,33.0
45.0,45,19.252918,45.0
27.0,35,19.283657,27.0
89.0,89,19.36128,89.0
23.0,23,19.381344,23.0
51.0,51,19.426089,51.0
31.0,31,19.453297,31.0
21.0,21,19.47167,21.0
33.0,33,19.500678,33.0
75.0,75,19.566001,75.0
40.0,40,19.600684,40.0
34.0,34,19.630236,34.0
38.0,42,19.666793,38.0
63.0,63,19.721602,63.0
35.0,35,19.752101,35.0
35.0,35,19.782434,35.0
50.0,50,19.825871,50.0
13.0,20,19.843313,13.0
62.0,65,19.899638,62.0
41.0,41,19.935291,41.0
32.0,32,19.963116,32.0
32.0,32,19.991061,32.0
32.0,56,20.039715,32.0
28.0,77,20.106579,28.0
64.0,64,20.162148,64.0
114.0,122,20.26841,114.0
49.0,49,20.310953,49.0
33.0,33,20.339576,33.0
29.0,31,20.366513,29.0
14.0,14,20.378704,14.0
58.0,58,20.429033,58.0
26.0,26,20.451662,26.0
58.0,66,20.508828,58.0
31.0,31,20.535838,31.0
30.0,64,20.591373,30.0
44.0,44,20.629465,44.0
26.0,26,20.652087,26.0
15.0,15,20.665221,15.0
37.0,92,20.744916,37.0
27.0,27,20.76839,27.0
34.0,34,21.219477,34.0
28.0,28,21.244232,28.0
30.0,98,21.330419,30.0
16.0,16,21.344589,16.0
31.0,31,21.371899,31.0
28.0,77,21.439343,28.0
33.0,35,21.469799,33.0
38.0,38,21.504149,38.0
26.0,34,21.53434,26.0
50.0,50,21.578389,50.0
36.0,36,21.610059,36.0
42.0,42,21.647136,42.0
48.0,48,21.689264,48.0
62.0,62,21.743563,62.0
53.0,70,21.804381,53.0
