time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/value_loss,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_score_reward,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_object_ep_length
2668544,605,4407,2606,9.753103228149484e-06,0.00011662400000000001,0.00015069649,10420,0.021484375,-0.01735939458012581,0.9988337159156799,0.046649600000000006,-1.5896048471331596,-0.000307163194520399,3342.56,-1.15966682,,,,
2669568,605,4408,2607,9.810053555270315e-06,0.00011657280000000001,0.00019627577,10424,0.012939453125,-0.017534125596284866,0.4763838052749634,0.04662912,-1.5922323390841484,-0.0005919998948229477,3344.58,-1.15900015,,,,
2670592,605,4409,2608,1.6607033671789395e-05,0.0001165216,0.00012242893,10428,0.0,-0.01764383725821972,0.9986843466758728,0.04660864000000001,-1.5784691348671913,-0.0007111252343747765,3346.21,-1.16033349,,,,
2671616,605,4411,2609,1.594247862612974e-05,0.0001164704,3.810937e-05,10432,0.0,-0.015077243559062481,0.998793363571167,0.04658816,-1.5712059065699577,0.00014184729661792517,3350.39,-1.16033349,,,,
2672640,605,4412,2610,1.244908924036281e-05,0.0001164192,9.600079e-05,10436,0.00048828125,-0.01625121757388115,0.9988351464271545,0.04656768,-1.5773468390107155,-0.00020198541460558772,3352.71,-1.16100016,,,,
2673664,605,4413,2611,6.7915328827439225e-06,0.00011636800000000001,2.5122485e-05,10440,0.0,-0.016707919538021088,0.9986754059791565,0.046547200000000004,-1.5876769348978996,3.813370130956173e-05,3352.71,-1.16100016,,,,
2674688,605,4414,2612,1.2448108250850964e-06,0.0001163168,9.070855e-05,10444,0.0,-0.016250113025307655,-0.14377236366271973,0.04652672,-1.588045172393322,-0.00027433910872787237,3355.65,-1.1610001600000002,,,,
2675000,,,,8.25627680001162e-06,0.0001162656,2.5086047e-05,10448,0.0,-0.01640179380774498,0.9984173774719238,0.046506240000000004,-1.5790276527404785,-0.00015534181147813797,,,-21.0,3056.0,-2.4600002000000005,3056.0
2675712,604,4428,2613,,,,,,,,,,,3355.65,-1.1610001600000002,,,,
2676736,604,4429,2614,1.553482388771954e-05,0.0001162144,7.080048e-05,10452,0.0,-0.015235955826938152,0.7560806274414062,0.04648576,-1.5878905206918716,-0.00012069271178916097,3361.28,-1.1553335,,,,
2677760,604,4430,2615,2.2545432045717462e-05,0.00011616319999999999,7.9985824e-05,10456,0.001953125,-0.016873929649591446,0.9978274703025818,0.04646528,-1.5730521753430367,-0.00020453293109312654,3358.67,-1.1416668300000001,,,,
2678784,604,4431,2616,1.9835029092973855e-05,0.00011611199999999999,0.00017823593,10460,0.0,-0.015136612579226494,0.9985450506210327,0.0464448,-1.567099690437317,-0.00018920603906735778,3361.43,-1.1410001600000002,,,,
2679808,604,4432,2617,2.4450192881886323e-05,0.0001160608,3.8370024e-05,10464,0.0,-0.015563331544399261,0.9983855485916138,0.04642432,-1.56063923984766,-0.00011040066601708531,3361.43,-1.1410001600000002,,,,
2680832,604,4434,2618,3.4322840889444706e-06,0.0001160096,2.3481029e-05,10468,0.0,-0.016369827091693878,0.392031729221344,0.04640384,-1.5803795829415321,-4.455220187082887e-05,3361.43,-1.1410001600000002,,,,
2681856,604,4435,2619,3.232087649962523e-06,0.00011595839999999999,0.00019792846,10472,0.029296875,-0.016462726518511772,0.30341845750808716,0.04638336,-1.5714520364999771,-0.00041123630944639444,3363.68,-1.1416668300000001,,,,
2682880,604,4436,2620,1.0936385251625325e-05,0.00011590719999999999,0.00017659733,10476,0.01416015625,-0.016289208084344864,0.9979202151298523,0.046362879999999995,-1.569316104054451,-0.0003341647097840905,3363.33,-1.1410001600000002,,,,
2683904,604,4437,2621,1.5679044736316428e-05,0.00011585599999999998,0.00010299595,10480,0.0,-0.015008608810603619,0.9973640441894531,0.0463424,-1.5720404386520386,-0.0003691102028824389,3359.75,-1.13966682,,,,
2684928,604,4438,2622,2.2811580038251122e-05,0.00011580480000000002,0.00036777247,10484,0.015869140625,-0.018194077536463737,0.99860018491745,0.04632192000000001,-1.5690522864460945,-0.0009299962548539042,3353.13,-1.13833348,,,,
2685952,604,4439,2623,3.38156303314463e-05,0.00011575360000000002,0.005070136,10488,0.000732421875,-0.016518056392669678,0.9980238080024719,0.046301440000000006,-1.5787311792373657,-0.000437223439803347,3353.13,-1.13833348,,,,
2686976,605,4441,2624,4.203624079934798e-06,0.00011570240000000001,0.00018512196,10492,0.0,-0.014467467553913593,-0.2788209915161133,0.04628096000000001,-1.5939604863524437,-0.00035257259150967,3353.13,-1.13833348,,,,
2688000,605,4442,2625,5.664771009605829e-06,0.00011565120000000001,3.3522607e-05,10496,0.0,-0.016350144520401955,0.026117146015167236,0.04626048000000001,-1.5888014510273933,-0.00017342017963528633,3353.86,-1.13833348,,,,
2689024,605,4443,2626,6.572415344408e-06,0.0001156,9.94702e-05,10500,0.0,-0.016896704211831093,0.9986713528633118,0.04624,-1.584643192589283,-0.00018582158372737467,3353.86,-1.13833348,,,,
2690048,605,4444,2627,7.225706433189316e-07,0.00011554880000000001,0.00010883901,10504,0.0,-0.016150791198015213,-0.022324562072753906,0.04621952000000001,-1.5962883904576302,-0.0001643461873754859,3353.54,-1.13766681,,,,
2691072,605,4445,2628,1.8301378077012487e-05,0.00011549760000000001,9.3761424e-05,10508,0.0,-0.016347825527191162,0.998009979724884,0.046199040000000004,-1.5923195704817772,-0.00024460157146677375,3354.19,-1.13900015,,,,
2692096,605,4446,2629,1.727769472381624e-05,0.0001154464,3.279181e-05,10512,0.0,-0.016575993970036507,0.9988905787467957,0.04617856000000001,-1.5936112701892853,-8.819543290883303e-05,3350.96,-1.13900015,,,,
2693120,605,4448,2630,2.1030170415770044e-05,0.0001153952,0.00019151357,10516,0.0283203125,-0.017510823905467987,0.9992535710334778,0.046158080000000004,-1.6060167327523232,-0.0005806742119602859,3350.96,-1.13900015,,,,
2694144,605,4449,2631,2.0713831077046052e-05,0.000115344,0.00015513174,10520,0.0107421875,-0.017175301909446716,0.4021088480949402,0.0461376,-1.625276856124401,-0.0005760983331128955,3350.96,-1.13900015,,,,
2695168,605,4450,2632,1.0345673928213728e-05,0.00011529280000000001,0.00015632191,10524,0.020263671875,-0.01635652780532837,0.007406890392303467,0.046117120000000004,-1.6328808665275574,-0.0003663929528556764,3350.96,-1.13900015,,,,
2696192,605,4451,2633,2.8162059152236907e-05,0.0001152416,0.00025950925,10528,0.04052734375,-0.018301628530025482,0.7605732679367065,0.04609664,-1.6428259313106537,-0.0008094246149994433,3354.52,-1.13900015,,,,
2697216,605,4452,2634,2.0074899282462866e-05,0.0001151904,2.3141736e-05,10532,0.0,-0.01635028049349785,0.9956008791923523,0.046076160000000005,-1.6425093039870262,-1.9974017050117254e-05,3359.75,-1.1383334800000002,,,,
2698240,605,4454,2635,2.0264230272459827e-05,0.0001151392,9.079406e-06,10536,0.0,-0.016603954136371613,0.9981557130813599,0.04605568,-1.6296329721808434,-7.521035149693489e-05,3356.19,-1.13900015,,,,
2699264,605,4455,2636,2.4929469248036185e-05,0.00011508799999999999,0.00019976962,10540,0.016357421875,-0.017215678468346596,0.9995865821838379,0.0460352,-1.6302366256713867,-0.0005650635866913944,3356.19,-1.13900015,,,,
2700000,,,,0.11232917476445436,0.0001150368,0.00038520864,10544,0.045166015625,0.02637830190360546,0.0021471381187438965,0.04601472,-1.6337667852640152,-0.0013687735190615058,,,-21.0,3056.0,-2.4733336000000006,3056.0
2700288,604,4468,2637,,,,,,,,,,,3356.19,-1.13900015,,,,
2701312,604,4469,2638,0.00022962345451560395,0.0001149856,6.174779e-05,10548,0.00390625,-0.016715774312615395,0.02665632963180542,0.04599424,-1.6284418404102325,-0.00032922011450864375,3356.19,-1.13900015,,,,
