time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/approx_kl,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward,eval/mean_object_ep_length
68,21252,1454080,1420,0.003337525,0.07093888,0.8400806784629822,0.143798828125,5676,-1.2789435982704163,0.03973272896837443,-0.006996227835770696,0.0001773472,-0.01393363531678915,5.72,11745.4,,,,
68,21263,1455104,1421,0.0023645665,0.0709184,0.8704118728637695,0.13427734375,5680,-1.337542176246643,0.03121930395718664,-0.006606876180740073,0.00017729600000000002,-0.01636050082743168,5.72,11745.4,,,,
68,21273,1456128,1422,0.0026198598,0.07089791999999999,0.8612407445907593,0.11962890625,5684,-1.299690157175064,0.0416264699306339,-0.0061518615402746946,0.0001772448,-0.010044710710644722,5.87,11790.07,,,,
68,21284,1457152,1423,0.0029738094,0.07087744,0.82944655418396,0.1689453125,5688,-1.2880686223506927,0.04496794519945979,-0.008055293146753684,0.0001771936,-0.012272216379642487,5.69,11884.6,,,,
68,21294,1458176,1424,0.0021430636,0.07085696000000001,0.7678267955780029,0.137939453125,5692,-1.2897506803274155,0.0502564983908087,-0.0051671376277226955,0.0001771424,-0.00584280863404274,5.69,11884.6,,,,
68,21305,1459200,1425,0.0041007455,0.07083648000000001,0.8665927648544312,0.152099609375,5696,-1.2560967206954956,0.028484310838393867,-0.00751216514618136,0.0001770912,-0.017249800264835358,5.69,11884.6,,,,
68,21315,1460224,1426,0.0023087543,0.070816,0.88006991147995,0.17333984375,5700,-1.2975725084543228,0.030841300496831536,-0.006874015933135524,0.00017704,-0.011644789949059486,6.0,11861.38,,,,
68,21325,1461248,1427,0.0028051215,0.07079552,0.8239843249320984,0.176513671875,5704,-1.3195819407701492,0.042012091376818717,-0.00775956065626815,0.0001769888,-0.01468722801655531,6.0,11861.38,,,,
68,21336,1462272,1428,0.002326299,0.07077504,0.7924585938453674,0.15478515625,5708,-1.2977722510695457,0.04330668551847339,-0.0059136219206266105,0.0001769376,-0.011744830757379532,6.0,11861.38,,,,
68,21346,1463296,1429,0.0038877416,0.07075456000000001,0.818221926689148,0.16748046875,5712,-1.2690186128020287,0.030305623076856136,-0.006888166157295927,0.00017688640000000001,-0.01479844655841589,6.0,11861.38,,,,
68,21357,1464320,1430,0.0019730711,0.07073408,0.8912844061851501,0.12255859375,5716,-1.3011881113052368,0.02494851523078978,-0.005249877140158787,0.0001768352,-0.015481882728636265,6.0,11861.38,,,,
68,21368,1465344,1431,0.0035264664,0.0707136,0.874874472618103,0.15966796875,5720,-1.294254556298256,0.02751933503895998,-0.006476205991930328,0.000176784,-0.014718661084771156,6.0,11861.38,,,,
68,21378,1466368,1432,0.0037121936,0.07069312,0.8618024587631226,0.241943359375,5724,-1.286362648010254,0.03881023311987519,-0.007160931825637817,0.0001767328,-0.012039003893733025,6.0,11861.38,,,,
68,21388,1467392,1433,0.0033701812,0.07067264,0.9399822354316711,0.167724609375,5728,-1.257426768541336,0.01689632801571861,-0.009368379367515445,0.0001766816,-0.020338159054517746,6.0,11861.38,,,,
68,21399,1468416,1434,0.0021867554,0.07065216,0.9065490961074829,0.148193359375,5732,-1.275300770998001,0.02633499214425683,-0.005520761129446328,0.00017663040000000002,-0.01442075427621603,6.0,11861.38,,,,
68,21409,1469440,1435,0.0027643682,0.07063168,0.9544436931610107,0.154296875,5736,-1.2473995462059975,0.01604441914241761,-0.005686070726369508,0.0001765792,-0.022341201081871986,6.0,11861.38,,,,
68,21420,1470464,1436,0.0024545994,0.07061120000000001,0.9159894585609436,0.128173828125,5740,-1.243161216378212,0.020471613213885576,-0.005446679046144709,0.00017652800000000001,-0.016193276271224022,6.1,11806.77,,,,
68,21430,1471488,1437,0.0022060645,0.07059072,0.9276468753814697,0.202880859375,5744,-1.2835470885038376,0.021409468026831746,-0.008737259689951316,0.00017647679999999998,-0.01781763695180416,6.1,11806.77,,,,
68,21440,1472512,1438,0.00355292,0.07057024,0.856902539730072,0.149169921875,5748,-1.268539920449257,0.03242860420141369,-0.007862985134124756,0.0001764256,-0.014353317208588123,6.1,11806.77,,,,
68,21451,1473536,1439,0.0020980604,0.07054976,0.9360044002532959,0.14306640625,5752,-1.2538630664348602,0.014884224394336343,-0.0075275463168509305,0.0001763744,-0.02444610930979252,6.41,11769.28,,,,
68,21462,1474560,1440,0.0024930157,0.07052928000000001,0.8963837027549744,0.136474609375,5756,-1.2568202316761017,0.02522747975308448,-0.005738265695981681,0.00017632320000000003,-0.015441834926605225,6.41,11769.28,,,,
,,1475000,,0.002284784,0.0705088,0.7530526518821716,0.143310546875,5760,-1.2635607495903969,0.04260445316322148,-0.0050746999913826585,0.000176272,-0.009617483243346214,,,12578.2,-185.6533336,14.8,12578.2
68,21621,1475584,1441,,,,,,,,,,,6.41,11769.28,,,,
