time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_reward,eval/mean_score_reward,eval/mean_object_ep_length,eval/mean_score_ep_length
7591,614,628736,82,0.0070674968883395195,0.0025534758,0.8407098650932312,-0.0038942695246078074,0.08744576,0.08251953125,0.044016516068950295,2452,-0.9037867672741413,0.00021861439999999998,-11.97,6828.45,,,,
7601,615,629760,82,0.017453985288739204,0.0024545598,0.7047056555747986,-0.0029571365157607943,0.08742528000000001,0.093994140625,0.07009492791257799,2456,-0.9528609924018383,0.00021856320000000003,-11.97,6828.45,,,,
7611,616,630784,82,0.004725749604403973,0.0021635513,0.8489454984664917,-0.0020268279768060893,0.0874048,0.091796875,0.039761247113347054,2460,-0.8918402045965195,0.000218512,-11.97,6828.45,,,,
7621,617,631808,82,0.015953561291098595,0.00332087,0.7874833345413208,0.0013415164285106584,0.08738432000000002,0.20361328125,0.06018995586782694,2464,-0.8601854592561722,0.00021846080000000002,-11.97,6828.45,,,,
7631,618,632832,82,0.01492422167211771,0.0027280182,0.8313532471656799,-0.0007205894944490865,0.08736384000000001,0.129150390625,0.05315652070567012,2468,-0.9112051464617252,0.00021840960000000002,-11.73,6906.65,,,,
7640,619,633856,82,0.008673228323459625,0.0022461372,0.7597346305847168,0.0005179664876777679,0.08734336000000001,0.157958984375,0.05413443734869361,2472,-0.9252820238471031,0.0002183584,-11.62,6946.01,,,,
7650,620,634880,82,0.015852700918912888,0.0025035348,0.6762030124664307,-0.0022309205669444054,0.08732288,0.12158203125,0.07108656968921423,2476,-0.9316936284303665,0.0002183072,-11.62,6946.01,,,,
7660,621,635904,83,0.01441795565187931,0.0030473135,0.7008104920387268,-0.002132350520696491,0.0873024,0.12890625,0.06498895352706313,2480,-0.9165206290781498,0.000218256,-11.52,6985.45,,,,
7670,622,636928,83,0.002098243683576584,0.0025424354,0.7759849429130554,-0.004957047873176634,0.08728192000000001,0.10107421875,0.04692852427251637,2484,-0.9312548488378525,0.0002182048,-11.52,6985.45,,,,
7680,623,637952,83,0.010944762267172337,0.0032839698,0.7812086939811707,-0.0008697664015926421,0.08726144000000001,0.1953125,0.04977848590351641,2488,-0.962124940007925,0.0002181536,-11.39,7032.03,,,,
7691,624,638976,83,0.010767566040158272,0.0018544479,0.8145578503608704,-0.0027250721177551895,0.08724096,0.102783203125,0.0545786723960191,2492,-0.9336862973868847,0.0002181024,-11.39,7032.03,,,,
7701,625,640000,83,0.03270536661148071,0.0020930332,0.7170252799987793,-0.0021554750273935497,0.08722048,0.104248046875,0.07705873996019363,2496,-0.9392384551465511,0.00021805120000000002,-11.39,7032.03,,,,
7711,626,641024,83,0.006503324955701828,0.0020169616,0.7879430055618286,-0.003305010061012581,0.0872,0.106689453125,0.04315400216728449,2500,-0.9710954539477825,0.000218,-11.39,7032.03,,,,
