time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/approx_kl,train/learning_rate,train/loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_score_reward,eval/mean_object_reward
1433600,20427,70,1400,0.0022893006,0.00017837120000000002,-0.0033903680741786957,5596,0.159912109375,-0.0059038534527644515,0.07134848,0.7947914004325867,-1.465966783463955,0.04923492204397917,11.41,10778.04,,,,
1434624,20437,70,1401,0.0022941504,0.00017832000000000001,-0.012813381850719452,5600,0.179443359375,-0.006668512913165614,0.071328,0.7962464690208435,-1.494853176176548,0.041888377629220486,11.41,10778.04,,,,
1435648,20447,70,1402,0.0013867042,0.0001782688,-0.011425076052546501,5604,0.14208984375,-0.006401766033377498,0.07130752,0.7852283120155334,-1.5277096778154373,0.04452788864728063,11.41,10778.04,,,,
1436672,20457,70,1403,0.0017698517,0.0001782176,-0.018318984657526016,5608,0.13232421875,-0.007884909864515066,0.07128704000000001,0.8218350410461426,-1.4724519401788712,0.033934837905690074,11.78,10743.84,,,,
1437696,20467,70,1404,0.0021319431,0.0001781664,-0.0168810673058033,5612,0.1181640625,-0.0074287082243245095,0.07126656,0.8516983389854431,-1.5105113238096237,0.03292144613806158,11.78,10743.84,,,,
1438720,20477,70,1405,0.001745127,0.0001781152,-0.02336134761571884,5616,0.101318359375,-0.006424079299904406,0.07124608,0.8674835562705994,-1.4959278777241707,0.036556285340338945,11.78,10743.84,,,,
1439744,20487,70,1406,0.0018385167,0.000178064,-0.014628289267420769,5620,0.09814453125,-0.006603117944905534,0.0712256,0.8617305755615234,-1.501935362815857,0.03052017977461219,11.78,10743.84,,,,
1440768,20497,70,1407,0.0022074042,0.0001780128,-0.009309248067438602,5624,0.1142578125,-0.00555348806665279,0.07120512,0.8214458227157593,-1.5180153399705887,0.02765858347993344,11.78,10743.84,,,,
1441792,20507,70,1408,0.0017656148,0.00017796160000000001,-0.022954437881708145,5628,0.108642578125,-0.006112979157478549,0.07118464000000001,0.9647199511528015,-1.5602135509252548,0.010621007211739197,11.78,10743.84,,,,
1442816,20517,70,1409,0.0020607663,0.0001779104,-0.028774354606866837,5632,0.1298828125,-0.00787441452848725,0.07116416,0.8841020464897156,-1.5213308110833168,0.015308212779927999,11.78,10743.84,,,,
1443840,20527,70,1410,0.001894198,0.0001778592,-0.012185651808977127,5636,0.144287109375,-0.006354550423566252,0.07114368,0.8643333315849304,-1.5277723595499992,0.033020211034454405,11.88,10659.04,,,,
1444864,20537,70,1411,0.0012879876,0.000177808,-0.022148961201310158,5640,0.09326171875,-0.006021386507200077,0.0711232,0.9282145500183105,-1.552097626030445,0.018070173740852624,11.88,10659.04,,,,
1445888,20547,70,1412,0.00194189,0.0001777568,-0.021920019760727882,5644,0.100830078125,-0.007792562944814563,0.07110272,0.9462577104568481,-1.519551232457161,0.012830555613618344,11.88,10659.04,,,,
1446912,20557,70,1413,0.0024027545,0.00017770560000000002,-0.024248596280813217,5648,0.18798828125,-0.007872580725234002,0.07108224,0.9488641023635864,-1.5443871691823006,0.014688153169117868,11.91,10626.26,,,,
