time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/clip_range,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_reward,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_object_ep_length
2974,1196032,402,1168,0.07609984,0.0001902496,0.03465909801889211,0.131591796875,-1.3119290098547935,-0.006536454020533711,0.9163605570793152,4668,0.0021437542,-0.017340216785669327,-1.55,10774.73,,,,
2975,1197056,402,1169,0.07607936,0.00019019839999999998,0.05624363012611866,0.199951171875,-1.3009187951683998,-0.00476666065515019,0.8686349987983704,4672,0.0031861465,0.0003337785601615906,-1.55,10774.73,,,,
2976,1198080,402,1170,0.07605888000000001,0.0001901472,0.05197344324551523,0.110107421875,-1.2916928082704544,-0.006184558325912803,0.8694380521774292,4676,0.002235334,-0.0017758030444383621,-1.27,10748.21,,,,
2977,1199104,402,1171,0.0760384,0.000190096,0.04618124244734645,0.13818359375,-1.3078413605690002,-0.006427589105442166,0.8528696298599243,4680,0.002924054,-0.007311832159757614,-1.27,10748.21,,,,
,1200000,,,0.07601792000000002,0.00019004480000000003,0.0739032062701881,0.1298828125,-1.3349847048521042,-0.006889024574775249,0.7984811067581177,4684,0.0022708103,0.006960239261388779,,,7.8,10400.2,-661.8,10400.2
3021,1200128,397,1172,,,,,,,,,,,-1.27,10748.21,,,,
3022,1201152,397,1173,0.07599744,0.0001899936,0.06612891657277942,0.121337890625,-1.2776383981108665,-0.006016491708578542,0.7711355686187744,4688,0.0021485519,0.00040668807923793793,-1.11,10760.87,,,,
3023,1202176,397,1174,0.07597696000000001,0.00018994240000000002,0.04237835085950792,0.140869140625,-1.3003800362348557,-0.005673997424310073,0.8146913051605225,4692,0.0023345454,-0.006590452045202255,-1.11,10760.87,,,,
3024,1203200,397,1175,0.07595648,0.00018989120000000002,0.05330049619078636,0.15234375,-1.346284918487072,-0.0061570300022140145,0.7593417763710022,4696,0.0020480612,-0.0056896209716796875,-1.11,10760.87,,,,
3025,1204224,398,1176,0.075936,0.00018984,0.0693445117212832,0.174072265625,-1.3030576407909393,-0.005143135553225875,0.7505565881729126,4700,0.00264392,0.0038261692970991135,-1.11,10760.87,,,,
3026,1205248,398,1177,0.07591552000000001,0.0001897888,0.051677136681973934,0.148193359375,-1.3348527401685715,-0.004795789020135999,0.7513316869735718,4704,0.002127497,-0.0027865469455718994,-1.11,10760.87,,,,
3027,1206272,398,1178,0.07589504000000001,0.0001897376,0.032380531542003155,0.150390625,-1.3049247711896896,-0.005514788092114031,0.8601128458976746,4708,0.0016856407,-0.011486432515084743,-1.11,10760.87,,,,
3028,1207296,398,1179,0.07587456000000001,0.0001896864,0.052207622677087784,0.115234375,-1.339002400636673,-0.004937891382724047,0.808639407157898,4712,0.0021201342,0.005421165376901627,-1.34,10760.23,,,,
