time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/n_updates,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_reward,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_score_ep_length
400000,,,,0.00023003200000000002,0.025418277829885483,0.0224609375,0.0920128,-1.2627122849225998,0.0815705880522728,0.00084425666,0.6413233280181885,1560,-0.0015539607120444998,,,-16.610000000000003,3056.0,-21.0,3056.0
400384,391,87,4601,,,,,,,,,,,4213.81,-19.56,,,,
401408,392,87,4612,0.0002299808,0.016874123364686966,0.091064453125,0.09199232,-1.250746414065361,0.07018408877775073,0.0025661122,0.6771339774131775,1564,-0.0009638522460591048,4222.2,-19.53,,,,
402432,393,87,4622,0.00022992960000000002,0.01683887653052807,0.104736328125,0.09197184000000001,-1.2518678456544876,0.06322696385905147,0.003563995,0.5642604827880859,1568,-0.0021998021547915414,4222.79,-19.55,,,,
403456,394,87,4632,0.0002298784,0.02287178300321102,0.056640625,0.09195136000000001,-1.2765667587518692,0.05926392646506429,0.0014612253,0.48310375213623047,1572,0.0005616676062345505,4222.79,-19.55,,,,
404480,395,87,4643,0.0002298272,0.007765820249915123,0.0849609375,0.09193088,-1.2717964947223663,0.06125616515055299,0.0022251601,0.7218852043151855,1576,-0.0016497112228535116,4238.98,-19.53,,,,
405504,396,87,4653,0.000229776,0.04350382089614868,0.09130859375,0.0919104,-1.2261174842715263,0.11427029315382242,0.00095834245,0.3831804394721985,1580,-0.001354839390842244,4238.98,-19.53,,,,
406528,397,87,4663,0.0002297248,0.011795423924922943,0.15625,0.09188992000000001,-1.2715047895908356,0.07379662245512009,0.0013942269,0.46496695280075073,1584,-0.0028310982161201537,4242.49,-19.55,,,,
407552,398,87,4673,0.00022967360000000002,0.013647511601448059,0.0986328125,0.09186944000000001,-1.279485858976841,0.07378936465829611,0.0016834061,0.4699154496192932,1588,-0.0023882330278865993,4242.49,-19.55,,,,
408576,399,87,4684,0.00022962240000000002,0.030983705073595047,0.09326171875,0.09184896000000001,-1.273514948785305,0.10785291949287057,0.0014511117,0.5328052043914795,1592,-0.001043681288138032,4248.78,-19.53,,,,
409600,400,87,4695,0.00022957120000000002,0.021677719429135323,0.063720703125,0.09182848,-1.291793242096901,0.0840223366394639,0.0014843578,0.5105673670768738,1596,-0.001524047227576375,4284.69,-19.49,,,,
410624,401,87,4706,0.00022952,0.008437209762632847,0.115234375,0.091808,-1.3041323870420456,0.04966879729181528,0.0020184543,0.5244240760803223,1600,-0.0008193497778847814,4284.69,-19.49,,,,
411648,402,87,4716,0.0002294688,0.021328747272491455,0.1337890625,0.09178752000000001,-1.2962155491113663,0.09070841129869223,0.0020005016,0.6345669627189636,1604,-0.00045662253978662193,4314.8,-19.44,,,,
412672,403,87,4727,0.0002294176,0.014435885474085808,0.07421875,0.09176704000000001,-1.2740341573953629,0.07327972911298275,0.0020253179,0.5312246084213257,1608,-0.0025292443460784853,4335.08,-19.4,,,,
413696,404,87,4738,0.0002293664,0.019413620233535767,0.05712890625,0.09174656,-1.2252855375409126,0.08780359337106347,0.0023735967,0.5474607348442078,1612,-0.0009883104357868433,4345.74,-19.37,,,,
414720,405,87,4749,0.0002293152,0.020977314561605453,0.054443359375,0.09172608,-1.2300482168793678,0.08030891674570739,0.0015724128,0.4671536684036255,1616,0.0001692448859103024,4345.74,-19.37,,,,
415744,406,87,4759,0.000229264,0.018245089799165726,0.161865234375,0.0917056,-1.18104138225317,0.0759613593108952,0.0011371693,0.5030271410942078,1620,-0.0028159533394500613,4345.74,-19.37,,,,
