time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/entropy_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/value_loss,train/loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward
1021,616,615,629760,-1.222278118133545,0.00021856320000000003,0.4066706895828247,-0.0004895808961009607,0.0022997279,0.08742528000000001,0.17919921875,0.06476177950389683,0.01506200060248375,2456,5701.61,-18.51,,,,
1022,617,616,630784,-1.21845393627882,0.000218512,0.5128104090690613,-0.0007161549001466483,0.004608048,0.0874048,0.14892578125,0.05811237380839884,0.027161087840795517,2460,5718.94,-18.52,,,,
1023,617,617,631808,-1.2000231742858887,0.00021846080000000002,0.2909979224205017,-0.0011547098984010518,0.0014309876,0.08738432000000002,0.121337890625,0.07021932653151453,0.011053798720240593,2464,5718.94,-18.52,,,,
1024,617,618,632832,-1.194978043437004,0.00021840960000000002,0.5836242437362671,-0.0016297935508191586,0.0014476299,0.08736384000000001,0.087158203125,0.05265327589586377,0.012870674952864647,2468,5764.06,-18.45,,,,
1025,618,619,633856,-1.2574898898601532,0.0002183584,0.43230998516082764,0.001226278895046562,0.0030991542,0.08734336000000001,0.16455078125,0.06309671048074961,0.017162218689918518,2472,5764.06,-18.45,,,,
1026,618,620,634880,-1.214916855096817,0.0002183072,0.5373762845993042,-0.0025540326605550945,0.0020167136,0.08732288,0.076904296875,0.05549486633390188,0.00789361447095871,2476,5783.74,-18.42,,,,
1027,618,621,635904,-1.2110332548618317,0.000218256,0.3087084889411926,-0.0021137164148967713,0.0014002789,0.0873024,0.085693359375,0.07076067291200161,0.011343628168106079,2480,5783.74,-18.42,,,,
1028,619,622,636928,-1.210619829595089,0.0002182048,-0.08513069152832031,-0.0003267608699388802,0.0023923395,0.08728192000000001,0.163330078125,0.08419662155210972,0.022115670144557953,2484,5783.74,-18.42,,,,
1029,619,623,637952,-1.2114151641726494,0.0002181536,0.4519071578979492,0.000735423353035003,0.0011179857,0.08726144000000001,0.138427734375,0.07571178348734975,0.02149871177971363,2488,5783.74,-18.42,,,,
1030,620,624,638976,-1.2152115851640701,0.0002181024,0.31862419843673706,0.0016854493005666882,0.0014871565,0.08724096,0.154052734375,0.08426507608965039,0.022618772462010384,2492,5795.21,-18.46,,,,
1031,620,625,640000,-1.1481538340449333,0.00021805120000000002,0.38735413551330566,-0.0018386088195256889,0.0014207936,0.08722048,0.098388671875,0.07034665765240788,0.015650015324354172,2496,5795.21,-18.46,,,,
1032,620,626,641024,-1.1793059632182121,0.000218,0.1964384913444519,-0.0024215570301748812,0.0024745127,0.0872,0.11669921875,0.08267816714942455,0.04085603356361389,2500,5829.7,-18.45,,,,
1033,621,627,642048,-1.1502076163887978,0.0002179488,0.46608132123947144,-0.0006529867241624743,0.00166277,0.08717952000000001,0.075439453125,0.046323743648827076,0.009345807135105133,2504,5829.7,-18.45,,,,
1034,621,628,643072,-1.1884163320064545,0.0002178976,0.5316359996795654,-0.002743182412814349,0.0032050707,0.08715904000000001,0.1357421875,0.0553026816342026,0.016353793442249298,2508,5857.35,-18.43,,,,
1035,621,629,644096,-1.1558014824986458,0.0002178464,0.4079107642173767,-0.0034683592966757715,0.0018333488,0.08713856,0.127197265625,0.08265931298956275,0.020715191960334778,2512,5857.35,-18.43,,,,
1036,622,630,645120,-1.1757848411798477,0.0002177952,0.5537400245666504,-0.0005156084662303329,0.0020984923,0.08711808,0.177734375,0.04326021368615329,0.003294873982667923,2516,5915.33,-18.39,,,,
1037,622,631,646144,-1.2048977762460709,0.000217744,0.30765384435653687,-0.0012694509059656411,0.0022848626,0.0870976,0.147705078125,0.09908448066562414,0.029305100440979004,2520,5915.33,-18.39,,,,
1038,623,632,647168,-1.192763738334179,0.0002176928,0.34444481134414673,-0.001623256248421967,0.0021372265,0.08707712000000001,0.131103515625,0.07557381014339626,0.02391650527715683,2524,5915.33,-18.39,,,,
1039,623,633,648192,-1.186581239104271,0.0002176416,0.23863190412521362,0.004815612512174994,0.0068074204,0.08705664,0.220458984375,0.05135445226915181,0.030217904597520828,2528,5971.2,-18.34,,,,
1040,623,634,649216,-1.2516899779438972,0.0002175904,0.4300345182418823,0.0015852531359996647,0.0021356835,0.08703616000000002,0.234619140625,0.07238937658257782,0.027316123247146606,2532,5971.2,-18.34,,,,
,,,650000,-1.2011688277125359,0.0002175392,0.5394250750541687,-0.0012218690826557577,0.002124397,0.08701568,0.136962890625,0.05467743193730712,0.00740412250161171,2536,,,7227.2,7227.2,-3327.2266668,-20.2
1071,606,635,650240,,,,,,,,,,,5971.2,-18.34,,,,
1072,607,636,651264,-1.2467980235815048,0.00021748800000000003,0.481472373008728,0.0018667895928956568,0.0041046175,0.08699520000000001,0.194580078125,0.08675129432231188,0.026623185724020004,2540,6036.44,-18.28,,,,
1073,607,637,652288,-1.2732256948947906,0.0002174368,0.44007039070129395,-0.00021261617075651884,0.002348266,0.08697472,0.086669921875,0.055724785663187504,0.01454772800207138,2544,6036.44,-18.28,,,,
1074,607,638,653312,-1.2389187663793564,0.00021738560000000002,0.5266144871711731,-0.0013744292373303324,0.0019752376,0.08695424000000002,0.136962890625,0.05644227773882449,0.005835779011249542,2548,6168.67,-18.13,,,,
1075,608,639,654336,-1.2566185519099236,0.0002173344,0.5069992542266846,0.0029961975815240294,0.00411952,0.08693376,0.2373046875,0.04653084254823625,0.013756881467998028,2552,6168.67,-18.13,,,,
1076,608,640,655360,-1.2370202839374542,0.00021728320000000001,0.40173816680908203,-0.0022808616049587727,0.0019525713,0.08691328000000001,0.183349609375,0.05217042495496571,0.0030974429100751877,2556,6168.67,-18.13,,,,
1077,609,641,656384,-1.2935036793351173,0.000217232,0.3361470699310303,-0.0021259005297906697,0.0014282027,0.0868928,0.061279296875,0.058380730682983994,0.016482243314385414,2560,6168.67,-18.13,,,,
1078,609,642,657408,-1.2369313314557076,0.0002171808,0.5733085870742798,0.003046178142540157,0.0032683227,0.08687232,0.241455078125,0.05416206945665181,0.01769133284687996,2564,6197.04,-18.11,,,,
1079,609,643,658432,-1.2837459221482277,0.0002171296,0.5493237972259521,-0.005363937350921333,0.013803043,0.08685184000000001,0.180419921875,0.03360541770234704,-0.0037103593349456787,2568,6236.19,-18.12,,,,
1080,610,644,659456,-1.321275644004345,0.0002170784,0.3847350478172302,-0.0021419668046291918,0.0027578624,0.08683136000000001,0.180908203125,0.07600126881152391,0.02210364118218422,2572,6236.19,-18.12,,,,
1081,610,645,660480,-1.269333429634571,0.0002170272,0.5423232316970825,-0.0006826056633144617,0.0068463227,0.08681088,0.227783203125,0.04453255352564156,0.0027067605406045914,2576,6270.65,-18.11,,,,
1082,610,646,661504,-1.2951232716441154,0.00021697600000000002,0.44426703453063965,2.8180249501019716e-05,0.0016179185,0.0867904,0.1474609375,0.07571618561632931,0.021815141662955284,2580,6270.65,-18.11,,,,
1083,611,647,662528,-1.2524599358439445,0.00021692480000000001,0.454897403717041,-0.0017591150826774538,0.0020380814,0.08676992,0.101318359375,0.08185768290422857,0.028052091598510742,2584,6289.81,-18.12,,,,
1084,611,648,663552,-1.2678425014019012,0.0002168736,0.45772480964660645,-0.004630205454304814,0.0026910456,0.08674944000000001,0.111083984375,0.05174445523880422,0.012663277797400951,2588,6289.81,-18.12,,,,
1085,611,649,664576,-1.2584145963191986,0.0002168224,0.452495813369751,-0.0031982522923499346,0.0034550005,0.08672896000000001,0.21240234375,0.05397649947553873,0.010176046751439571,2592,6289.81,-18.12,,,,
1086,612,650,665600,-1.265219822525978,0.0002167712,0.4506734609603882,0.002373410272412002,0.0027724763,0.08670848,0.22802734375,0.0746762182097882,0.03249068558216095,2596,6289.81,-18.12,,,,
1087,612,651,666624,-1.2593920305371284,0.00021672,0.6441575288772583,-0.0012290460290387273,0.0017760426,0.086688,0.072021484375,0.0379143605241552,0.0007691718637943268,2600,6318.52,-18.08,,,,
1088,613,652,667648,-1.2886993512511253,0.0002166688,0.6939507722854614,-0.0014312777202576399,0.0019914906,0.08666752,0.133544921875,0.0460976823233068,0.0025665685534477234,2604,6357.57,-18.09,,,,
1090,613,653,668672,-1.2740778923034668,0.0002166176,0.6582623720169067,-0.0018759874801617116,0.003660752,0.08664704000000001,0.14013671875,0.041664792923256755,-0.002710556611418724,2608,6357.57,-18.09,,,,
1091,613,654,669696,-1.2662523165345192,0.0002165664,0.43917781114578247,0.0023001045919954777,0.0038932317,0.08662656,0.1806640625,0.05156117770820856,0.009923062287271023,2612,6392.95,-18.08,,,,
1092,614,655,670720,-1.2818279638886452,0.00021651519999999998,0.48202645778656006,-0.0028117166948504746,0.004270271,0.08660608,0.228271484375,0.06472899159416556,0.01697814092040062,2616,6392.95,-18.08,,,,
1093,614,656,671744,-1.2178347706794739,0.000216464,0.5084371566772461,0.0008390323491767049,0.0029501142,0.0865856,0.1220703125,0.04500857228413224,0.013267041184008121,2620,6392.95,-18.08,,,,
1094,614,657,672768,-1.2309524863958359,0.00021641280000000003,0.5697168111801147,-0.0012888721539638937,0.002309111,0.08656512000000001,0.11865234375,0.05685958964750171,0.013489597477018833,2624,6428.53,-18.07,,,,
1095,615,658,673792,-1.2491611018776894,0.0002163616,0.5420127511024475,-0.0010209729080088437,0.0020439725,0.08654464,0.095458984375,0.046365222660824656,0.008677272126078606,2628,6428.53,-18.07,,,,
1096,615,659,674816,-1.2275843620300293,0.00021631040000000002,0.5352840423583984,-0.0013929469278082252,0.002452944,0.08652416000000002,0.08447265625,0.05825500306673348,0.005758948624134064,2632,6428.53,-18.07,,,,
,,,675000,-1.246492363512516,0.0002162592,0.681355357170105,-0.0020677576831076294,0.0016743636,0.08650368,0.074951171875,0.044971481431275606,0.004448911175131798,2636,,,7778.8,7778.8,-2354.7066667999998,-18.2
1129,598,660,675840,,,,,,,,,,,6471.15,-18.06,,,,
1130,598,661,676864,-1.2262264266610146,0.00021620800000000001,0.5675436854362488,-0.0003945383941754699,0.0024259603,0.08648320000000001,0.12744140625,0.041787887923419476,0.0018384270370006561,2640,6471.15,-18.06,,,,
1131,599,662,677888,-1.1986068859696388,0.0002161568,0.5432682037353516,-0.0020855043549090624,0.003933165,0.08646272,0.222900390625,0.043876903131604195,0.005831984803080559,2644,6495.59,-18.0,,,,
1132,599,663,678912,-1.2483065947890282,0.0002161056,0.41783571243286133,-0.0016900496848393232,0.002310724,0.08644224,0.137939453125,0.07112556556239724,0.017217140644788742,2648,6495.59,-18.0,,,,
1133,599,664,679936,-1.2131937518715858,0.0002160544,0.4034340977668762,-0.0019066083623329177,0.0031317964,0.08642176000000001,0.168212890625,0.07843866664916277,0.012199558317661285,2652,6495.59,-18.0,,,,
1134,600,665,680960,-1.1741554141044617,0.0002160032,0.5426281094551086,-0.000787116470746696,0.002512387,0.08640128000000001,0.16796875,0.07189907226711512,0.021793384104967117,2656,6519.84,-17.99,,,,
1135,600,666,681984,-1.213368758559227,0.00021595200000000002,0.5212501883506775,-0.0030471337377093732,0.0022271418,0.08638080000000001,0.11962890625,0.0555349332280457,0.0088739525526762,2660,6549.18,-17.96,,,,
1136,600,667,683008,-1.192164622247219,0.00021590080000000002,0.5423046350479126,-0.0015805574948899448,0.0029090522,0.08636032,0.156494140625,0.04825918469578028,0.010119597427546978,2664,6549.18,-17.96,,,,
1137,601,668,684032,-1.217696338891983,0.00021584960000000001,0.5097211599349976,-0.0004888770636171103,0.0027220375,0.08633984,0.13427734375,0.04703441867604852,0.022295841947197914,2668,6586.82,-17.91,,,,
1138,601,669,685056,-1.1760948225855827,0.0002157984,0.6431581974029541,-0.0019476742018014193,0.0015210434,0.08631936000000001,0.076171875,0.029568093945272267,0.0006201844662427902,2672,6586.82,-17.91,,,,
1139,602,670,686080,-1.2041046023368835,0.0002157472,0.5098761320114136,-0.002056010183878243,0.0018336973,0.08629888000000001,0.102783203125,0.06213603960350156,0.009045017883181572,2676,6586.82,-17.91,,,,
1140,602,671,687104,-1.2149984166026115,0.000215696,0.6453667879104614,-0.0024405544681940228,0.0018744944,0.0862784,0.09423828125,0.03613044263329357,-0.003194248303771019,2680,6630.04,-17.87,,,,
1141,602,672,688128,-1.2131698280572891,0.0002156448,0.5769693851470947,-0.0010947732371278107,0.0014510364,0.08625792,0.072998046875,0.04727476532571018,0.005081798881292343,2684,6655.93,-17.83,,,,
1142,603,673,689152,-1.2608456462621689,0.0002155936,0.5521321296691895,-0.0028973908629268408,0.00188351,0.08623744,0.16455078125,0.047756056068465114,0.001963570713996887,2688,6655.93,-17.83,,,,
1143,603,674,690176,-1.2197111994028091,0.0002155424,0.5028822422027588,-0.0024872408248484135,0.0019659558,0.08621696000000001,0.123291015625,0.061186475213617086,0.017613476142287254,2692,6684.75,-17.79,,,,
1144,603,675,691200,-1.193085566163063,0.0002154912,0.5324989557266235,-0.0012603903887793422,0.0021963178,0.08619648,0.14892578125,0.043536793207749724,0.009319938719272614,2696,6684.75,-17.79,,,,
1145,604,676,692224,-1.2227061092853546,0.00021543999999999998,0.5002105832099915,-0.0009118499583564699,0.002841807,0.086176,0.1298828125,0.052040067967027426,0.0030455291271209717,2700,6684.75,-17.79,,,,
