time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/entropy_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/value_loss,train/learning_rate,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward
64,5087,326656,319,-1.3882252871990204,0.037841796875,0.6235038042068481,1272,0.0018253986,-0.0017027518770191818,0.09348736,0.049519039457663894,0.0002337184,0.004218254238367081,-19.92,3989.8,,,,
64,5102,327680,320,-1.385270707309246,0.28125,0.42785632610321045,1276,0.0005642161,-0.0010124410182470456,0.09346688,0.06292694574221969,0.0002336672,0.008385096676647663,-19.92,3993.07,,,,
64,5116,328704,321,-1.4107026606798172,0.015380859375,0.5448570847511292,1280,0.0011247387,-0.0006335978978313506,0.0934464,0.08682616055011749,0.000233616,0.020422253757715225,-19.88,4026.37,,,,
64,5131,329728,322,-1.4156901836395264,0.0625,0.6252022385597229,1284,0.0022801114,-0.0014162480074446648,0.09342592,0.07445999560877681,0.0002335648,0.016755815595388412,-19.88,4026.37,,,,
64,5146,330752,323,-1.4161331728100777,0.072265625,0.494610071182251,1288,0.0008710281,-0.0018709820287767798,0.09340544,0.05181001080200076,0.00023351359999999999,0.0034648682922124863,-19.87,4035.81,,,,
64,5161,331776,324,-1.4356125369668007,0.057373046875,0.8197493553161621,1292,0.0026430045,-0.0025279284454882145,0.09338496000000002,0.05688816402107477,0.0002334624,0.006200190633535385,-19.86,4036.25,,,,
64,5175,332800,325,-1.4462756142020226,0.105712890625,0.7748014330863953,1296,0.0014094234,-0.002271860867040232,0.09336448,0.03554023161996156,0.00023341119999999998,-0.0008226586505770683,-19.87,4033.38,,,,
64,5190,333824,326,-1.4392574802041054,0.02490234375,0.6867246627807617,1300,0.0016137381,-0.0012868975281890016,0.09334400000000001,0.057855114340782166,0.00023336000000000003,0.0033854376524686813,-19.87,4043.74,,,,
64,5203,334848,327,-1.438127562403679,0.146240234375,0.5282766819000244,1304,0.0014729499,-0.0016115824109874666,0.09332352000000001,0.08571200165897608,0.00023330880000000003,0.027025725692510605,-19.87,4043.74,,,,
64,5216,335872,328,-1.4381614327430725,0.0263671875,0.538081705570221,1308,0.0010616775,-0.001520768040791154,0.09330304,0.07695494452491403,0.00023325760000000002,0.014832362532615662,-19.87,4043.74,,,,
64,5231,336896,329,-1.4235434159636497,0.033447265625,0.7527747750282288,1312,0.0017832569,-0.000489379686769098,0.09328256000000001,0.049345578299835324,0.00023320640000000002,0.0029874593019485474,-19.83,4056.94,,,,
64,5246,337920,330,-1.4465749338269234,0.030517578125,0.8693437576293945,1316,0.00090769737,-0.00033507148327771574,0.09326208000000001,0.06663875444792211,0.00023315520000000001,0.00816483423113823,-19.81,4066.62,,,,
64,5261,338944,331,-1.3983305096626282,0.0771484375,0.6810991764068604,1320,0.0012030832,-0.001758606158546172,0.09324160000000001,0.08487562043592334,0.000233104,0.02566644176840782,-19.81,4066.62,,,,
64,5275,339968,332,-1.4010349959135056,0.119140625,0.6252914667129517,1324,0.00091576553,-0.001976514802663587,0.09322112,0.0639980654232204,0.0002330528,0.009449903853237629,-19.82,4057.55,,,,
64,5290,340992,333,-1.418925829231739,0.130615234375,0.8069949746131897,1328,0.0018079949,-0.0028030995454173535,0.09320064,0.0689128648955375,0.0002330016,0.007741495966911316,-19.79,4087.38,,,,
64,5305,342016,334,-1.4122979417443275,0.075927734375,0.7258480191230774,1332,0.0013067962,-0.0010348147188778967,0.09318016000000001,0.07108217873610556,0.0002329504,0.008284332230687141,-19.79,4087.38,,,,
64,5320,343040,335,-1.391310602426529,0.010009765625,0.22106623649597168,1336,0.00062723743,-0.00031941030465532094,0.09315968000000001,0.11446981504559517,0.0002328992,0.03335144370794296,-19.79,4087.38,,,,
64,5334,344064,336,-1.4164119139313698,0.050048828125,0.5036547183990479,1340,0.0014911642,-0.0005500563711393625,0.0931392,0.08628395106643438,0.00023284800000000002,0.02343130111694336,-19.78,4101.48,,,,
64,5348,345088,337,-1.4025111645460129,0.11328125,0.702510416507721,1344,0.00074764574,-0.000416515875258483,0.09311872,0.07670909562148154,0.00023279680000000001,0.02375466376543045,-19.79,4095.7,,,,
