time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/value_loss,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_reward,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_score_reward
10120,685056,67,669,0.05350193660706282,2672,0.0037364251911640167,0.4002324342727661,0.08631936000000001,0.0002157984,-0.00391778809716925,0.0022171845,0.11474609375,-1.4148195758461952,8262.91,-18.2,,,,
10130,686080,67,670,0.06034842994995415,2676,0.011212727054953575,0.3199818730354309,0.08629888000000001,0.0002157472,-0.004872149278526194,0.0027381214,0.15966796875,-1.3960499539971352,8262.91,-18.2,,,,
10140,687104,67,671,0.05355835100635886,2680,0.004394277930259705,0.2691338062286377,0.0862784,0.000215696,-0.005294951843097806,0.0022702732,0.113037109375,-1.3942940905690193,8262.91,-18.2,,,,
10151,688128,67,672,0.03562802856322378,2684,-0.013914783485233784,0.5143710970878601,0.08625792,0.0002156448,-0.005707977179554291,0.0023022003,0.14990234375,-1.4045527800917625,8262.91,-18.2,,,,
10161,689152,67,673,0.06064009224064648,2688,-0.0045478809624910355,0.4458855390548706,0.08623744,0.0002155936,-0.0067719423095695674,0.0030794682,0.15087890625,-1.4208850711584091,8262.91,-18.2,,,,
10172,690176,67,674,0.06603629351593554,2692,0.011956380680203438,0.43760114908218384,0.08621696000000001,0.0002155424,-0.0017931166803464293,0.001968701,0.121337890625,-1.3938571065664291,8262.91,-18.2,,,,
10182,691200,67,675,0.053222719579935074,2696,-0.002352425828576088,0.32727229595184326,0.08619648,0.0002154912,-0.004825983342016116,0.002132347,0.107421875,-1.3982242047786713,8346.98,-18.19,,,,
10193,692224,67,676,0.05123955965973437,2700,-0.004131145775318146,0.4354032278060913,0.086176,0.00021543999999999998,-0.007333462941460311,0.0024867437,0.139404296875,-1.4488001689314842,8398.84,-18.2,,,,
10203,693248,67,677,0.03063815552741289,2704,-0.007817834615707397,0.4646756649017334,0.08615552,0.0002153888,-0.0050160995160695165,0.0018439577,0.05615234375,-1.4440168514847755,8398.84,-18.2,,,,
10214,694272,67,678,0.04804135672748089,2708,0.0017661713063716888,0.5454748868942261,0.08613504,0.0002153376,-0.0029635984828928486,0.0023079219,0.091796875,-1.45329749584198,8398.84,-18.2,,,,
10224,695296,68,679,0.0465932076331228,2712,-0.011186372488737106,0.39777058362960815,0.08611456,0.0002152864,-0.006215655419509858,0.0029740226,0.154296875,-1.4031519666314125,8408.06,-18.21,,,,
10234,696320,68,680,0.027334630955010653,2716,-0.01366037130355835,0.19685477018356323,0.08609408000000002,0.00021523520000000002,-0.0046567875251639634,0.0019221983,0.14453125,-1.4265949800610542,8451.43,-18.22,,,,
10245,697344,68,681,0.06429497012868524,2720,0.005662968382239342,0.42176079750061035,0.0860736,0.000215184,-0.0054170365910977125,0.0030858042,0.1689453125,-1.4301673546433449,8451.43,-18.22,,,,
10255,698368,68,682,0.07737803691998124,2724,0.021287716925144196,0.27798992395401,0.08605312000000001,0.00021513280000000001,-0.0053150339517742395,0.0014779378,0.06884765625,-1.4051738530397415,8481.74,-18.18,,,,
