time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_score_ep_length,eval/mean_object_reward
4559872,437,10412,4453,4.128745e-05,-0.015868593007326126,0.9670444130897522,0.0034973674919456244,-0.0012100128224119544,0.121826171875,-1.5697165206074715,2.205760000000001e-05,17808,0.008823040000000004,7428.73,19.28,,,,
4560896,437,10413,4454,7.2894036e-05,-0.012611813843250275,0.8826049566268921,0.013120766961947083,-0.0009331080073025078,0.1845703125,-1.560368500649929,2.200640000000001e-05,17812,0.008802560000000004,7417.44,19.27,,,,
4561920,438,10414,4455,5.1742536e-05,-0.013719086535274982,0.9574609994888306,0.00700992374913767,-0.00112924215500243,0.13427734375,-1.5581701695919037,2.195520000000001e-05,17816,0.008782080000000003,7417.44,19.27,,,,
4562944,438,10415,4456,2.6432332e-05,-0.014605272561311722,0.9304357767105103,0.007248390989843756,-0.000757448433432728,0.135498046875,-1.5412164106965065,2.1904000000000006e-05,17820,0.008761600000000003,7417.44,19.27,,,,
4563968,438,10416,4457,4.972343e-05,-0.01611890085041523,0.96626877784729,0.0034063079074257985,-0.0012454975221771747,0.173583984375,-1.5624417960643768,2.1852800000000005e-05,17824,0.008741120000000003,7434.45,19.28,,,,
4564992,438,10417,4458,4.2932283e-05,-0.012065061368048191,0.9188861846923828,0.012506784754805267,-0.0010424893698655069,0.12841796875,-1.5393245369195938,2.1801600000000005e-05,17828,0.008720640000000002,7445.37,19.29,,,,
4566016,438,10418,4459,3.0770432e-05,-0.014059825800359249,0.9055911302566528,0.009362462704302743,-0.0011125599266961217,0.108642578125,-1.575736328959465,2.1750400000000004e-05,17832,0.008700160000000002,7446.93,19.3,,,,
4567040,438,10419,4460,5.7940837e-05,-0.012304478324949741,0.9393369555473328,0.010619806998874992,-0.0009163680369965732,0.1640625,-1.5321038365364075,2.1699200000000004e-05,17836,0.00867968,7446.93,19.3,,,,
4568064,438,10420,4461,4.0360203e-05,-0.013650168664753437,0.9470978379249573,0.008213999273721129,-0.0010312248195987195,0.151123046875,-1.530301608145237,2.1648e-05,17840,0.0086592,7446.93,19.3,,,,
4569088,438,10421,4462,4.763773e-05,-0.015202405862510204,0.9484226703643799,0.005285089020617306,-0.0011553168878890574,0.184326171875,-1.5763871297240257,2.15968e-05,17844,0.00863872,7446.93,19.3,,,,
